時間,論理ID,タグID,中継器ID,送信番号,電波強度,電源電圧,piNo
2023-03-06 17:56:11.547,1,8201A0FF,No Relay,55,177,2950,1
2023-03-06 17:56:12.010,1,82019A14,No Relay,56,219,3180,1
2023-03-06 17:56:13.272,1,82019C41,No Relay,71,177,2980,1
2023-03-06 17:56:13.705,1,82019DEE,No Relay,63,210,3190,1
2023-03-06 17:56:13.910,1,820198F4,No Relay,54,210,2980,1
2023-03-06 17:56:14.104,1,8201A0FF,No Relay,56,177,2950,1
2023-03-06 17:56:14.758,1,82019A14,No Relay,57,219,3180,1
2023-03-06 17:56:15.685,1,82019C41,No Relay,72,177,2980,1
2023-03-06 17:56:15.878,1,82019C19,No Relay,53,177,2590,1
2023-03-06 17:56:16.340,1,82019DEE,No Relay,64,210,3200,1
2023-03-06 17:56:16.772,1,8201A0FF,No Relay,57,180,2950,1
2023-03-06 17:56:18.226,1,82019C41,No Relay,73,186,2980,1
2023-03-06 17:56:19.009,1,82019DEE,No Relay,65,210,3190,1
2023-03-06 17:56:19.202,1,820198F4,No Relay,56,213,2980,1
2023-03-06 17:56:19.473,1,8201A0FF,No Relay,58,192,2950,1
2023-03-06 17:56:20.958,1,82019C19,No Relay,55,186,2590,1
2023-03-06 17:56:21.151,1,82019C41,No Relay,74,180,2980,1
2023-03-06 17:56:21.391,1,82019DEE,No Relay,66,207,3190,1
2023-03-06 17:56:21.663,1,820195E2,No Relay,1,153,2795,1
2023-03-06 17:56:22.062,1,8201A0FF,No Relay,59,180,2950,1
2023-03-06 17:56:22.669,1,82019A14,No Relay,60,219,3180,1
2023-03-06 17:56:23.675,1,82019C41,No Relay,75,168,2980,1
2023-03-06 17:56:24.698,1,820198F4,No Relay,58,204,2980,1
2023-03-06 17:56:24.891,1,8201A0FF,No Relay,60,129,2940,1
2023-03-06 17:56:26.009,1,82019C19,No Relay,57,159,2595,1
2023-03-06 17:56:26.233,1,82019C41,No Relay,76,192,2980,1
2023-03-06 17:56:26.537,1,82019DEE,No Relay,68,204,3200,1
2023-03-06 17:56:26.824,1,820195E2,No Relay,3,153,2810,1
2023-03-06 17:56:27.143,1,8201A0FF,No Relay,61,177,2950,1
2023-03-06 17:56:27.336,1,820198F4,No Relay,59,198,2980,1
2023-03-06 17:56:27.543,1,82019A14,No Relay,62,219,3180,1
2023-03-06 17:56:28.518,1,82019C19,No Relay,58,132,2590,1
2023-03-06 17:56:29.013,1,82019C41,No Relay,77,180,2980,1
2023-03-06 17:56:29.204,1,82019DEE,No Relay,69,210,3190,1
2023-03-06 17:56:29.732,1,820198F4,No Relay,60,213,2980,1
2023-03-06 17:56:29.972,1,8201A0FF,No Relay,62,192,2950,1
2023-03-06 17:56:30.243,1,82019A14,No Relay,63,222,3180,1
2023-03-06 17:56:31.090,1,82019A27,No Relay,2,177,2980,1
2023-03-06 17:56:31.298,1,82019C19,No Relay,59,168,2595,1
2023-03-06 17:56:31.521,1,82019DEE,No Relay,70,219,3190,1
2023-03-06 17:56:31.714,1,82019C41,No Relay,78,195,2980,1
2023-03-06 17:56:31.969,1,820195E2,No Relay,5,156,2810,1
2023-03-06 17:56:32.480,1,8201A0FF,No Relay,63,180,2950,1
2023-03-06 17:56:32.928,1,82019A14,No Relay,64,237,3180,1
2023-03-06 17:56:33.583,1,82019A27,No Relay,3,183,2980,1
2023-03-06 17:56:34.047,1,82019C19,No Relay,60,138,2595,1
2023-03-06 17:56:34.254,1,82019DEE,No Relay,71,237,3190,1
2023-03-06 17:56:34.463,1,82019C41,No Relay,79,195,2980,1
2023-03-06 17:56:34.751,1,820195E2,No Relay,6,156,2800,1
2023-03-06 17:56:35.197,1,8201A0FF,No Relay,64,192,2950,1
2023-03-06 17:56:35.501,1,82019A14,No Relay,65,228,3180,1
2023-03-06 17:56:36.269,1,82019A27,No Relay,4,186,2980,1
2023-03-06 17:56:36.462,1,82019C19,No Relay,61,180,2590,1
2023-03-06 17:56:36.811,1,82019DEE,No Relay,72,210,3190,1
2023-03-06 17:56:37.020,1,82019C41,No Relay,80,204,2980,1
2023-03-06 17:56:37.452,1,820195E2,No Relay,7,168,2800,1
2023-03-06 17:56:37.659,1,8201A0FF,No Relay,65,186,2950,1
2023-03-06 17:56:38.139,1,82019A14,No Relay,66,231,3180,1
2023-03-06 17:56:38.954,1,82019EBB,No Relay,1,144,3050,1
2023-03-06 17:56:39.146,1,82019C19,No Relay,62,192,2580,1
2023-03-06 17:56:39.513,1,82019DEE,No Relay,73,210,3190,1
2023-03-06 17:56:39.720,1,82019C41,No Relay,81,201,2980,1
2023-03-06 17:56:39.991,1,820195E2,No Relay,8,171,2810,1
2023-03-06 17:56:40.247,1,8201A0FF,No Relay,66,192,2950,1
2023-03-06 17:56:40.983,1,82019A14,No Relay,67,228,3180,1
2023-03-06 17:56:41.240,1,82019A27,No Relay,6,189,3010,1
2023-03-06 17:56:41.446,1,82019C19,No Relay,63,180,2585,1
2023-03-06 17:56:42.070,1,82019DEE,No Relay,74,207,3190,1
2023-03-06 17:56:42.486,1,82019C41,No Relay,82,195,2980,1
2023-03-06 17:56:42.692,1,8201A0FF,No Relay,67,195,2950,1
2023-03-06 17:56:43.092,1,820198F4,No Relay,65,210,2980,1
2023-03-06 17:56:43.476,1,82019A14,No Relay,68,225,3180,1
2023-03-06 17:56:43.938,1,82019A27,No Relay,7,192,2990,1
2023-03-06 17:56:44.435,1,82019DEE,No Relay,75,207,3190,1
2023-03-06 17:56:45.216,1,8201A0FF,No Relay,68,198,2950,1
2023-03-06 17:56:45.410,1,820195E2,No Relay,10,183,2810,1
2023-03-06 17:56:45.617,1,820198F4,No Relay,66,207,2980,1
2023-03-06 17:56:45.824,1,82019C62,No Relay,1,147,3160,1
2023-03-06 17:56:46.018,1,82019A14,No Relay,69,228,3180,1
2023-03-06 17:56:46.431,1,82019A27,No Relay,8,168,2990,1
2023-03-06 17:56:46.672,1,82019EBB,No Relay,4,147,3080,1
2023-03-06 17:56:46.958,1,82019DEE,No Relay,76,210,3190,1
2023-03-06 17:56:47.726,1,8201A0FF,No Relay,69,192,2950,1
2023-03-06 17:56:47.918,1,820195E2,No Relay,11,132,2795,1
2023-03-06 17:56:48.125,1,820198F4,No Relay,67,207,2980,1
2023-03-06 17:56:48.396,1,82019C62,No Relay,2,177,3160,1
2023-03-06 17:56:48.589,1,82019A14,No Relay,70,228,3180,1
2023-03-06 17:56:49.068,1,82019EBB,No Relay,5,159,3070,1
2023-03-06 17:56:49.276,1,82019A27,No Relay,9,168,2990,1
2023-03-06 17:56:49.564,1,82019DEE,No Relay,77,210,3190,1
2023-03-06 17:56:49.788,1,82019C19,No Relay,66,177,2590,1
2023-03-06 17:56:50.522,1,8201A0FF,No Relay,70,192,2940,1
2023-03-06 17:56:50.794,1,820198F4,No Relay,68,207,2980,1
2023-03-06 17:56:51.002,1,82019C41,No Relay,85,192,2980,1
2023-03-06 17:56:51.194,1,82019C62,No Relay,3,183,3160,1
2023-03-06 17:56:51.386,1,82019A14,No Relay,71,228,3180,1
2023-03-06 17:56:51.705,1,82019EBB,No Relay,6,156,3060,1
2023-03-06 17:56:51.912,1,82019A27,No Relay,10,174,2990,1
2023-03-06 17:56:52.569,1,82019C19,No Relay,67,213,2595,1
2023-03-06 17:56:53.367,1,8201A0FF,No Relay,71,192,2950,1
2023-03-06 17:56:53.654,1,82019C62,No Relay,4,180,3160,1
2023-03-06 17:56:53.910,1,82019A14,No Relay,72,228,3180,1
2023-03-06 17:56:54.246,1,82019A27,No Relay,11,126,2990,1
2023-03-06 17:56:54.487,1,82019EBB,No Relay,7,156,3060,1
2023-03-06 17:56:54.981,1,82019DEE,No Relay,79,210,3190,1
2023-03-06 17:56:55.237,1,820195E2,No Relay,2,162,2810,1
2023-03-06 17:56:55.923,1,8201A0FF,No Relay,72,189,2950,1
2023-03-06 17:56:56.132,1,82019C41,No Relay,87,198,2990,1
2023-03-06 17:56:56.357,1,82019C62,No Relay,5,174,3160,1
2023-03-06 17:56:56.563,1,82019A14,No Relay,73,228,3180,1
2023-03-06 17:56:56.884,1,82019EBB,No Relay,8,156,3070,1
2023-03-06 17:56:57.075,1,82019A27,No Relay,12,144,2990,1
2023-03-06 17:56:57.394,1,82019DEE,No Relay,80,210,3190,1
2023-03-06 17:56:57.586,1,82019C19,No Relay,69,201,2590,1
2023-03-06 17:56:58.066,1,820195E2,No Relay,3,171,2810,1
2023-03-06 17:56:58.497,1,820198F4,No Relay,71,207,2980,1
2023-03-06 17:56:58.705,1,82019C41,No Relay,88,201,2980,1
2023-03-06 17:56:58.896,1,8201A0FF,No Relay,73,198,2950,1
2023-03-06 17:56:59.104,1,82019A14,No Relay,74,228,3180,1
2023-03-06 17:56:59.567,1,82019A27,No Relay,13,183,3000,1
2023-03-06 17:56:59.759,1,82019EBB,No Relay,9,162,3060,1
2023-03-06 17:57:00.126,1,82019C19,No Relay,70,204,2590,1
2023-03-06 17:57:00.686,1,820195E2,No Relay,4,168,2810,1
2023-03-06 17:57:01.213,1,8201A0FF,No Relay,74,192,2950,1
2023-03-06 17:57:01.405,1,82019C41,No Relay,89,201,2990,1
2023-03-06 17:57:01.598,1,820198F4,No Relay,72,210,2980,1
2023-03-06 17:57:01.804,1,82019C62,No Relay,7,180,3160,1
